# id	start	end	url
# SciShow Kids garden episodes (offline family build). Trim windows are first-pass.
# Sources: Let's Plant a Garden (0TJuJTFEBbs), Watch a Seed Sprout (-rJdVQNy6TY)
01_seeds	00:00:40	00:01:20	https://www.youtube.com/watch?v=-rJdVQNy6TY
02_soil	00:01:00	00:01:40	https://www.youtube.com/watch?v=0TJuJTFEBbs
03_planting	00:02:00	00:02:40	https://www.youtube.com/watch?v=0TJuJTFEBbs
04_watering	00:02:40	00:03:20	https://www.youtube.com/watch?v=0TJuJTFEBbs
05_sprouting	00:02:00	00:02:45	https://www.youtube.com/watch?v=-rJdVQNy6TY
06_sunlight	00:01:40	00:02:20	https://www.youtube.com/watch?v=0TJuJTFEBbs
07_growing	00:03:00	00:03:45	https://www.youtube.com/watch?v=-rJdVQNy6TY
08_weeding	00:03:20	00:04:00	https://www.youtube.com/watch?v=0TJuJTFEBbs
09_harvest	00:04:00	00:04:35	https://www.youtube.com/watch?v=0TJuJTFEBbs
10_seasons	00:00:20	00:01:00	https://www.youtube.com/watch?v=0TJuJTFEBbs
11_animals	00:03:40	00:04:15	https://www.youtube.com/watch?v=0TJuJTFEBbs
12_store	00:04:10	00:04:40	https://www.youtube.com/watch?v=0TJuJTFEBbs
intro	00:00:00	00:00:55	https://www.youtube.com/watch?v=0TJuJTFEBbs
